channel,integral,time
5,1258.4897,3787286260.914002
4,1328.0343,3787286260.9164033
4,1211.0372,3787286260.9204063
4,893.12225,3787286260.9234333
5,241.2143,3787286260.9234333
5,1584.9866,3787286260.928694
5,386.0188,3787286260.929042
4,1616.6088,3787286260.929231
4,423.31165,3787286260.934396
5,890.6201,3787286260.934396
5,1142.3882,3787286260.94081
4,629.14996,3787286260.9426613
5,695.9217,3787286260.944156
5,543.0445,3787286260.947637
5,674.9551,3787286260.9508715
5,702.59296,3787286260.950972
4,1349.7206,3787286260.9665885
4,1221.4248,3787286260.9725103
5,421.89755,3787286260.9725103
4,10419.909,3787286260.9742484
4,1261.335,3787286260.9765415
4,946.97375,3787286260.9797854
4,406.4546,3787286260.988042
5,265.04004,3787286260.989421
4,504.95447,3787286260.99749
5,889.6671,3787286260.9990473
5,1331.7609,3787286261.000044
5,1065.5852,3787286261.00361
4,664.9598,3787286261.010183
5,705.6202,3787286261.0139413
5,1214.5942,3787286261.024831
5,1293.9761,3787286261.0269823
4,1170.7625,3787286261.0295334
5,1037.5549,3787286261.0306325
4,1353.0009,3787286261.0427446
5,1164.5883,3787286261.044343
5,706.68536,3787286261.045383
5,441.3506,3787286261.0469875
4,820.50024,3787286261.053481
5,272.3279,3787286261.0563
5,1164.9246,3787286261.0596905
5,541.81116,3787286261.0604644
4,997.636,3787286261.0801377
5,1112.3959,3787286261.0801377
5,1092.4943,3787286261.0815444
4,1289.3997,3787286261.0852156
4,915.811,3787286261.0857973
4,1688.5929,3787286261.0862646
4,1169.4868,3787286261.0886536
5,1342.1882,3787286261.0941677
5,2278.232,3787286261.098141
4,506.68573,3787286261.1011767
5,479.07938,3787286261.1057086
4,1330.8589,3787286261.1123223
5,457.94452,3787286261.1123223
5,302.71277,3787286261.1132283
5,471.56723,3787286261.1205177
5,1294.4246,3787286261.12536
4,10526.974,3787286261.129198
5,481.09753,3787286261.130382
5,1170.6428,3787286261.137709
4,1428.5387,3787286261.138536
5,1125.5701,3787286261.1394362
5,580.94147,3787286261.143272
4,1104.7922,3787286261.148822
4,956.6324,3787286261.1572504
5,995.2853,3787286261.1572504
4,1277.2809,3787286261.157935
4,1370.8602,3787286261.1613417
5,1160.2716,3787286261.1691065
4,900.5029,3787286261.1810613
4,944.5135,3787286261.18381
5,1194.2443,3787286261.1848245
5,345.93546,3787286261.1854963
4,1126.3875,3787286261.1867495
5,674.84296,3787286261.1867495
4,2514.224,3787286261.1873918
4,879.3633,3787286261.1943564
5,1016.2519,3787286261.1951246
5,968.99286,3787286261.1956115
4,501.12744,3787286261.197456
4,1413.1396,3787286261.2036276
5,1213.5852,3787286261.2052283
4,456.8435,3787286261.2083073
5,356.30667,3787286261.2233496
5,476.50058,3787286261.2379365
4,1435.0994,3787286261.242342
4,1348.6272,3787286261.243647
5,622.8187,3787286261.243647
5,825.58984,3787286261.2442937
5,1323.3518,3787286261.2500157
5,1364.5564,3787286261.253032
4,1345.6202,3787286261.261442
4,1482.8458,3787286261.2700515
5,958.17316,3787286261.2721767
4,412.6507,3787286261.2723184
5,445.16272,3787286261.2746496
5,660.2672,3787286261.275531
5,914.558,3787286261.2756386
5,1688.1941,3787286261.284607
4,1202.3809,3787286261.2846847
5,1129.7747,3787286261.2846847
5,691.77325,3787286261.284775
4,460.39716,3787286261.2951245
5,363.20212,3787286261.2990375
4,667.8756,3787286261.3029222
5,2474.4438,3787286261.305983
5,1279.9049,3787286261.3092246
4,631.51904,3787286261.3121576
4,632.52136,3787286261.3128877
4,1320.7448,3787286261.3172054
4,476.1608,3787286261.318608
5,637.9551,3787286261.3191257
4,1320.5625,3787286261.3209357
5,1393.7079,3787286261.334895
5,1213.9215,3787286261.339674
5,395.38092,3787286261.3406396
5,993.0989,3787286261.3428345
4,419.84912,3787286261.3428345
5,538.83997,3787286261.3477573
5,911.0262,3787286261.3539877
5,996.911,3787286261.358464
5,496.28998,3787286261.3606343
4,502.49423,3787286261.3606343
5,976.67316,3787286261.3652716
5,2003.1986,3787286261.369475
4,466.86664,3787286261.3704205
4,993.6268,3787286261.3776255
5,1068.9489,3787286261.3787136
4,1138.8707,3787286261.3801284
4,1025.6096,3787286261.381088
4,1105.43,3787286261.38163
5,1204.9519,3787286261.395007
4,880.4567,3787286261.3980646
5,365.3885,3787286261.3999696
5,1132.5776,3787286261.403824
4,702.59204,3787286261.4045935
5,937.59894,3787286261.410908
4,833.53033,3787286261.4131136
5,499.54147,3787286261.422057
5,1375.0957,3787286261.433045
4,724.005,3787286261.4484177
4,900.59406,3787286261.4503627
5,1119.7397,3787286261.4503627
4,1062.1484,3787286261.4511247
5,2437.8923,3787286261.4582834
4,1197.6427,3787286261.4599123
4,447.276,3787286261.466267
5,749.4035,3787286261.466267
4,1352.6365,3787286261.46658
4,506.04788,3787286261.4676
4,2505.5679,3787286261.4687943
5,360.287,3787286261.470106
5,1245.7079,3787286261.474631
5,461.86877,3787286261.4768887
5,384.22485,3787286261.477527
5,1164.42,3787286261.481295
4,2326.154,3787286261.486539
4,1156.1835,3787286261.490768
5,590.02325,3787286261.492994
4,1199.2828,3787286261.4931397
5,652.58685,3787286261.50474
5,1181.2943,3787286261.5049114
5,1309.1685,3787286261.5064073
4,998.82056,3787286261.510459
4,1349.9028,3787286261.5131245
4,1341.7021,3787286261.5261993
4,494.02014,3787286261.530015
4,1323.8428,3787286261.5327306
5,1324.529,3787286261.53317
5,1931.1608,3787286261.5402822
4,798.7228,3787286261.540438
5,1078.1989,3787286261.540438
4,806.8324,3787286261.541089
4,735.486,3787286261.5428157
4,589.0575,3787286261.5433984
4,1153.4498,3787286261.551957
4,1184.6127,3787286261.552199
4,1353.821,3787286261.5571003
4,2096.2603,3787286261.5603867
4,1101.3297,3787286261.5745354
5,430.97937,3787286261.578067
5,1094.1761,3787286261.578462
4,454.29218,3787286261.5921025
5,1353.6805,3787286261.593502
4,1164.2019,3787286261.5951967
5,1186.2837,3787286261.5975413
5,1248.3428,3787286261.598259
4,1143.609,3787286261.606607
5,1186.1715,3787286261.609345
4,1178.5077,3787286261.6158195
5,228.04005,3787286261.620663
5,1634.0396,3787286261.6256027
5,834.1111,3787286261.626378
5,1153.264,3787286261.6275883
4,1332.1346,3787286261.63488
5,1125.6261,3787286261.63488
4,1541.5266,3787286261.638457
4,589.9687,3787286261.639917
4,1228.7144,3787286261.6428113
4,899.04504,3787286261.64654
5,1196.4867,3787286261.6468906
5,1345.776,3787286261.6479836
4,995.5403,3787286261.6538315
5,1385.8594,3787286261.6620784
5,1029.9868,3787286261.6630454
